feature,impScore
NP3RTARU,0.14728533763236376
NP4WDYSK,0.12865939278257676
NP3GAIT,0.12374804467329842
NP1CNST,0.11960341567351242
GDS15SCORE,0.08174115271763989
NP3RIGN,0.05687929050959015
NP3FTAPL,0.05613026354130764
NP3RTARL,0.050642222833798996
NP3TTAPR,0.04709299171601666
NP2TRMR,0.03959607203879634
NP3HMOVR,0.03484467546491806
MINSNCLD,0.032066658521462545
NP4FLCTI,0.0279543409997394
NP3POSTR,0.024365637575012374
NP3RTCON,0.020135458683100006
gender,0.009255044636866478
